# {"t_start": 1568036757.2229385, "env_id": "Pendulum-v0"} 
obnow,action,obnext,reward
[-38.64858566  -3.45935704],[1.8713074],[ 0.58211101 -0.81310932 -3.45935704],-1.639738464593764
[46.29981265  6.41780043],[1.9789225],[-0.67923455  0.73392126  6.41780043],-6.947548206477075
[36.51138754  6.37673362],[-0.35273895],[ 0.37377159 -0.92752078  6.37673362],-7.4223590569921125
[19.48828735  1.32139398],[-1.8497542],[0.8028527  0.59617744 1.32139398],-0.47355765943876277
[26.37675909  4.09585909],[-1.9423977],[0.32099365 0.94708135 4.09585909],-2.4830524765715274
[32.41856371  4.02516191],[-1.9237865],[0.53808132 0.84289293 4.02516191],-2.0709663868991592
[-32.6096839   -3.33239656],[1.9147929],[ 0.36816904 -0.92975887 -3.33239656],-1.945376934188921
[-22.56493829  -7.73817062],[-1.9930565],[-0.83984988  0.54281873 -7.73817062],-14.477747202744789
[-45.40029634  -4.27927786],[1.3019061],[ 0.15220327 -0.98834921 -4.27927786],-2.8760383292192295
[-38.00610204  -2.02133232],[1.7640173],[ 0.95324742 -0.30219093 -2.02133232],-0.5003066375019932
[12.03544762  1.56960948],[1.4088801],[ 0.8623401  -0.5063295   1.56960948],-0.6928950683642794
[-31.08640628  -3.85870158],[0.89237535],[ 0.94619769  0.32358914 -3.85870158],-2.1806632035921716
[ 6.31188351e+00 -4.11776838e-04],[-0.14357357],[ 9.99588235e-01  2.86942687e-02 -4.11776838e-04],-0.0008453996130827739
[25.71550521  1.33620111],[-1.982732],[0.83494473 0.55033381 1.33620111],-0.42980497071031215
[ 6.42229817e+00 -2.76407035e-04],[-0.6933912],[ 9.90339401e-01  1.38664598e-01 -2.76407035e-04],-0.019837031794710875
[-38.68749291  -2.83873885],[1.9006716],[ 0.55004261 -0.83513659 -2.83873885],-1.3765378572856113
[ 6.07193723e+00 -3.12259697e-04],[1.0483252],[ 9.77769978e-01 -2.09680399e-01 -3.12259697e-04],-0.04571815088831065
[-6.35446617e+00 -9.42046168e-05],[0.35607857],[ 9.97460595e-01 -7.12205160e-02 -9.42046168e-05],-0.005207082818708472
[29.8751741   7.16610823],[1.1827773],[ 0.03003937 -0.99954872  7.16610823],-9.534732873775233
[37.04305642  3.90035986],[-1.1845778],[ 0.79240456 -0.60999591  3.90035986],-2.880580723265011
[12.92448867  0.41199007],[-1.7083659],[0.93655813 0.3505123  0.41199007],-0.13446762278940658
[-6.41995244e+00 -2.70038979e-04],[0.68163925],[ 9.90661945e-01 -1.36341155e-01 -2.70038979e-04],-0.019166195091163945
[-39.24822007  -5.48490744],[-0.7466247],[ 0.0216864  -0.99976482 -5.48490744],-3.793215652259945
[ 0.03423685 -0.00010037],[-0.1711758],[ 9.99413976e-01  3.42301632e-02 -1.00373754e-04],-0.0012018078206934148
[-7.07395333e-02 -3.31258985e-05],[0.35339472],[ 9.97499002e-01 -7.06805503e-02 -3.31258985e-05],-0.005128735181345762
[-6.33879901e+00 -7.96624003e-05],[0.2779051],[ 9.98453957e-01 -5.55850366e-02 -7.96624003e-05],-0.0031696724910623714
[0.0246831  0.02673464],[-0.13263491],[0.99969539 0.02468059 0.02673464],-0.0006474521816246813
[-1.05669392e-01 -6.65108903e-05],[0.5273522],[ 9.94422183e-01 -1.05472851e-01 -6.65108903e-05],-0.01144341850355271
[33.82552951  6.34559964],[1.8585615],[-0.74384607  0.66835097  6.34559964],-7.315139419532032
[19.64209373  1.99087532],[-1.993234],[0.70204031 0.71213721 1.99087532],-0.8120872518463923
[-6.47976188e+00 -1.63510454e-04],[0.97652465],[ 9.80740964e-01 -1.95312986e-01 -1.63510454e-04],-0.039592737467849755
[-1.40455337e-01  6.91447455e-05],[0.6999874],[ 9.90152354e-01 -1.39993983e-01  6.91447455e-05],-0.02021865586341783
[ 0.06826995 -0.00022405],[-0.34107828],[ 9.97670512e-01  6.82169333e-02 -2.24052995e-04],-0.004778656036642288
[ 6.33134465e+00 -1.10023099e-04],[-0.24073048],[ 9.98840563e-01  4.81407259e-02 -1.10023099e-04],-0.0023778042907428246
[-30.07055997  -6.26201174],[1.8732328],[ 0.22352527  0.97469814 -6.26201174],-8.068601725888024
[-19.72688061  -1.68404846],[1.9646195],[ 0.63921083 -0.76903154 -1.68404846],-0.841511810438235
[-1.98175140e-01 -9.35294969e-05],[0.9843796],[ 9.80427490e-01 -1.96880516e-01 -9.35294969e-05],-0.04024053653241676
[-6.32872373e+00 -5.66496356e-05],[0.22759937],[ 9.98963305e-01 -4.55226849e-02 -5.66496356e-05],-0.002125291750266886
[ 6.19691296e+00 -7.17220796e-05],[0.43080908],[ 9.96280849e-01 -8.61653656e-02 -7.17220796e-05],-0.0076278958136248715
[-6.34645713e+00 -1.25104467e-04],[0.31611598],[ 9.97999006e-01 -6.32296164e-02 -1.25104467e-04],-0.0041024630976487595
[ 0.0225838  -0.00013046],[-0.1129408],[ 9.99744997e-01  2.25818788e-02 -1.30458995e-04],-0.0005230799544364442
[ 2.51102282e-01 -2.25538580e-04],[-1.2424135],[ 9.68639124e-01  2.48471823e-01 -2.25538580e-04],-0.0646016159245769
[-6.58194804e+00 -1.35143732e-04],[1.4716576],[ 9.55701395e-01 -2.94337977e-01 -1.35143732e-04],-0.09142091247738199
[-6.22978871e+00 -1.54419621e-04],[-0.2668946],[ 9.98574741e-01  5.33712225e-02 -1.54419621e-04],-0.0029232558538412855
[-18.0053185   -3.39787932],[1.4664552],[ 0.66430147  0.74746475 -3.39787932],-2.840787043029359
[-25.18147742  -1.3776108 ],[1.3989565],[ 0.99881263 -0.0487169  -1.3776108 ],-0.2591832187201736
[-6.39483672e+00 -1.43783753e-04],[0.55706185],[ 9.93773453e-01 -1.11419584e-01 -1.43783753e-04],-0.012774753012648464
[-21.38042536  -7.06293872],[-1.9747177],[-0.81923349 -0.5734601  -7.06293872],-8.529457891442839
[-0.02597628 -0.00015573],[0.12982807],[ 9.99662635e-01 -2.59733625e-02 -1.55730782e-04],-0.0006912206011970044
[-9.71629821e-02 -9.87910978e-05],[0.48502636],[ 9.95283390e-01 -9.70101741e-02 -9.87910978e-05],-0.009674936784171728
[-6.99466159e-03 -4.75213230e-05],[0.03496141],[ 9.99975537e-01 -6.99460455e-03 -4.75213230e-05],-5.0114583198043354e-05
[-6.33945972e+00 -5.99323793e-05],[0.28120798],[ 9.98417013e-01 -5.62447174e-02 -5.99323793e-05],-0.0032455507522930046
[-11.55984404  -4.32799403],[1.7670565],[ 0.53479892  0.84497936 -4.32799403],-4.30568740314058
[-6.35863241e+00 -1.39800679e-04],[0.37684327],[ 9.97155217e-01 -7.53755420e-02 -1.39800679e-04],-0.00583322286328769
[-2.57834522e-01 -2.51245493e-04],[1.2748759],[ 9.66944414e-01 -2.54987254e-01 -2.51245493e-04],-0.06809747750595911
[-2.63877455e-01 -1.36514499e-04],[1.3040955],[ 9.65385898e-01 -2.60825744e-01 -1.36514499e-04],-0.07132837596079096
[-1.03262010e-01 -7.97075934e-05],[0.51537335],[ 9.94673214e-01 -1.03078593e-01 -7.97075934e-05],-0.010927829942612585
[-6.43746123e+00 -1.05898139e-04],[0.768297],[ 9.88123055e-01 -1.53664665e-01 -1.05898139e-04],-0.024389708771046965
[ 6.20616979e+00 -5.98862348e-05],[0.38468277],[ 9.97035771e-01 -7.69394018e-02 -5.98862348e-05],-0.006078909399665692
[-3.03107543e-01 -1.63243583e-04],[1.4923987],[ 9.54413536e-01 -2.98487525e-01 -1.63243583e-04],-0.09409649160317725
[-7.62952845e-02 -5.10814906e-05],[0.38109368],[ 9.97090926e-01 -7.62212872e-02 -5.10814906e-05],-0.0059658133657208914
[-6.29690245e+00 -4.79073608e-05],[0.06857135],[ 9.99905921e-01 -1.37167116e-02 -4.79073608e-05],-0.00019279652704829288
[-3.02557167e-02 -6.99683272e-05],[0.15123846],[ 9.99542331e-01 -3.02511008e-02 -6.99683272e-05],-0.0009380702705945932
[-6.45093449e+00 -3.95664079e-05],[0.8348082],[ 9.85963068e-01 -1.66963555e-01 -3.95664079e-05],-0.02883603067862405
[-1.98832302e-01 -6.82031431e-05],[0.9876081],[ 9.80297895e-01 -1.97524774e-01 -6.82031431e-05],-0.0405082983195455
[-7.8926385e-02 -4.9473652e-05],[0.39421082],[ 9.96886929e-01 -7.88444669e-02 -4.94736520e-05],-0.00638438619672742
[6.18932226e+00 1.36958848e-05],[0.46863008],[ 9.95598098e-01 -9.37252798e-02  1.36958848e-05],-0.009030014041374691
[-6.34997959e+00 -3.52901234e-05],[0.33371478],[ 9.97770091e-01 -6.67446308e-02 -3.52901234e-05],-0.004572606686112526
[-8.07622095e-02 -3.54382000e-05],[0.4033634],[ 9.96740505e-01 -8.06744424e-02 -3.54382000e-05],-0.0066849504470788326
[ 7.10226685e-02 -4.03610309e-05],[-0.35482466],[ 9.97478950e-01  7.09629746e-02 -4.03610309e-05],-0.005170406807756593
[ 3.96656754e-03 -4.86665197e-06],[-0.01983466],[ 9.99992133e-01  3.96655714e-03 -4.86665197e-06],-1.61290043516203e-05
[ 6.29083513e+00 -3.31962479e-05],[-0.03825747],[ 9.99970740e-01  7.64974676e-03 -3.31962479e-05],-6.000890825612777e-05
[ 6.68701572e-02 -3.14989041e-05],[-0.33411017],[ 9.97765024e-01  6.68203320e-02 -3.14989041e-05],-0.004583458262345842
[-1.06368302e-01 -1.03014322e-06],[0.5308383],[ 9.94348224e-01 -1.06167837e-01 -1.03014322e-06],-0.011595994115080001
[-6.30441332e+00  1.64512570e-05],[0.10613687],[ 9.99774694e-01 -2.12264147e-02  1.64512570e-05],-0.00046192835039524056
[-6.34173023e+00 -2.77401932e-06],[0.29255724],[ 9.98286735e-01 -5.85114873e-02 -2.77401932e-06],-0.00351308179100959
[-4.90148921e-02 -4.61323598e-06],[0.24497394],[ 9.98799011e-01 -4.89952684e-02 -4.61323598e-06],-0.0024624492687017213
[-6.38964228e-02 -1.15009612e-05],[0.31926176],[ 9.97959318e-01 -6.38529528e-02 -1.15009612e-05],-0.004184607440131943
[-6.25010004e+00 -1.02670347e-05],[-0.16539915],[ 9.99452732e-01  3.30792348e-02 -1.02670347e-05],-0.0011220259807932283
[-6.28067938e+00 -2.37531883e-05],[-0.01253447],[ 9.99996860e-01  2.50592057e-03 -2.37531883e-05],-6.442774954054788e-06
[-1.14313209e-01 -8.20734303e-07],[0.5703212],[ 9.93473357e-01 -1.14064407e-01 -8.20734303e-07],-0.013392766715875224
[-2.05031228e-02 -1.68734231e-05],[0.10250401],[ 9.99789818e-01 -2.05016863e-02 -1.68734231e-05],-0.00043085054886019084
[-8.76832852e-02 -9.76127190e-07],[0.43785492],[ 9.96158283e-01 -8.75709716e-02 -9.76127190e-07],-0.007880066871024284
[-6.35230243e+00 -5.49647258e-07],[0.3453106],[ 9.97612362e-01 -6.90621044e-02 -5.49647258e-07],-0.004896412175182978
[-6.34939132e+00 -7.26610294e-07],[0.33078867],[ 9.97809182e-01 -6.61576598e-02 -7.26610294e-07],-0.004492652793829884
[-6.73059705e-02  1.47842879e-05],[0.33627898],[ 9.97735808e-01 -6.72551650e-02  1.47842879e-05],-0.004643276748777391
[ 6.13564353e+00 -1.02655668e-05],[0.7350339],[ 9.89135442e-01 -1.47007067e-01 -1.02655668e-05],-0.02230870030044827
[-6.25005821e-02 -1.72579862e-05],[0.31229314],[ 9.98047474e-01 -6.24598988e-02 -1.72579862e-05],-0.0040037419394694206
[-1.36197220e-01 -2.04223962e-05],[0.6788775],[ 9.90739487e-01 -1.35776541e-01 -2.04223962e-05],-0.01901027932772301
[ 6.37648769e+00 -3.45166354e-05],[-0.4658438],[ 9.95650490e-01  9.31670664e-02 -3.45166354e-05],-0.008922666513315941
[-1.16149089e-02  1.23692334e-06],[0.05807277],[ 9.99932548e-01 -1.16146477e-02  1.23692334e-06],-0.00013827999167201165
[-6.22143641e+00  1.15137031e-05],[-0.30854642],[9.98094142e-01 6.17096652e-02 1.15137031e-05],-0.003908056268724945
[-1.04605753e-01 -1.85544566e-06],[0.52207375],[ 9.94533805e-01 -1.04415085e-01 -1.85544566e-06],-0.011214905156244516
[-2.48387213e-02 -2.36465085e-05],[0.12417497],[ 9.99691535e-01 -2.48361673e-02 -2.36465085e-05],-0.0006323228216885687
[-6.4064444e+00 -3.9715940e-05],[0.61472696],[ 9.92413210e-01 -1.22947225e-01 -3.97159400e-05],-0.015570204747031722
[-3.60587767e-02 -1.66991996e-06],[0.18025479],[ 9.99349953e-01 -3.60509631e-02 -1.66991996e-06],-0.0013327211471505015
[-6.27638675e+00 -1.93349487e-05],[-0.03399567],[ 9.99976890e-01  6.79850785e-03 -1.93349487e-05],-4.7389310936268943e-05
[ 3.04047931e-02 -1.71058687e-05],[-0.15200485],[ 9.99537810e-01  3.04001087e-02 -1.71058687e-05],-0.000947608959355547
[-6.27618357e+00 -4.26379496e-07],[-0.03500915],[ 9.99975488e-01  7.00168444e-03 -4.26379496e-07],-5.025032494709405e-05
[-1.17226893e-01 -2.74086878e-05],[0.58478665],[ 9.93136793e-01 -1.16958586e-01 -2.74086878e-05],-0.014083798565120754
[ 6.23015213e+00 -2.21497238e-05],[0.26503643],[ 9.98594070e-01 -5.30083247e-02 -2.21497238e-05],-0.0028826451450845833
[-5.86431553e-02 -2.52946731e-05],[0.29304162],[ 9.98280983e-01 -5.86095486e-02 -2.52946731e-05],-0.0035247447830627303
[ 4.08286529e-02 -1.70200108e-05],[-0.20409058],[ 9.99166626e-01  4.08173104e-02 -1.70200108e-05],-0.0017087013791751663
[ 6.28508641e+00 -1.34909388e-05],[-0.00950937],[ 9.99998193e-01  1.90109805e-03 -1.34909388e-05],-3.707189497764157e-06
[ 6.31158546e+00 -1.63484055e-05],[-0.14198516],[ 9.99596743e-01  2.83963360e-02 -1.63484055e-05],-0.0008267749712084534
[ 1.00557911e-01 -2.85740445e-05],[-0.50194955],[ 9.94948312e-01  1.00388525e-01 -2.85740445e-05],-0.01036413417275083
[-4.10438355e-02 -3.22430589e-05],[0.20515364],[ 9.99157820e-01 -4.10323127e-02 -3.22430589e-05],-0.0017265522166293064
[-5.28912156e-02 -2.86099809e-05],[0.26432547],[ 9.98601586e-01 -5.28665587e-02 -2.86099809e-05],-0.0028671974033757015
[-6.28391829e+00 -2.05352605e-05],[0.00366103],[ 9.99999731e-01 -7.32987159e-04 -2.05352605e-05],-5.492122071530334e-07
[ 6.39573386e+00 -4.79930055e-05],[-0.56156635],[ 9.93673094e-01  1.12311095e-01 -4.79930055e-05],-0.012983074851557837
[ 6.17092558e+00 -3.45728089e-05],[0.56011164],[ 9.93705491e-01 -1.12024091e-01 -3.45728089e-05],-0.012915583975694521
[ 6.28993669e+00 -3.22094208e-05],[-0.03376514],[ 9.99977210e-01  6.75132777e-03 -3.22094208e-05],-4.674305571026551e-05
[ 6.41672723e+00 -2.67101065e-05],[-0.66573256],[ 9.91096521e-01  1.33145355e-01 -2.67101065e-05],-0.0182770011108841
[ 6.26583696e+00 -3.12796099e-05],[0.0867307],[ 9.99849521e-01 -1.73474722e-02 -3.12796099e-05],-0.00030843303548662616
[-6.21012840e+00 -5.13276414e-05],[-0.3649734],[ 9.97332531e-01  7.29919319e-02 -5.13276414e-05],-0.0054708918312395835
[ 7.71675883e-02 -1.95404111e-05],[-0.38546023],[ 9.97024059e-01  7.70910244e-02 -1.95404111e-05],-0.006103567101027921
[ 6.80228245e-02 -4.24666138e-05],[-0.33986115],[ 9.97687340e-01  6.79703785e-02 -4.24666138e-05],-0.004742899312193134
[ 2.08146692e-02 -2.00286593e-05],[-0.10407051],[ 9.99783383e-01  2.08131662e-02 -2.00286593e-05],-0.00044412285340954537
[ 6.43575724e+00 -2.12945851e-05],[-0.75990796],[ 9.88383463e-01  1.51980689e-01 -2.12945851e-05],-0.023855979999200427
[ 6.28438931e+00 -4.65120634e-05],[-0.00603219],[ 9.99999275e-01  1.20400009e-03 -4.65120634e-05],-1.4918252904706669e-06
[-6.31306928e+00 -2.98803103e-05],[0.14939089],[ 9.99553507e-01 -2.98795217e-02 -2.98803103e-05],-0.0009152800707533757
[ 6.29259836e+00 -2.73543842e-05],[-0.04707177],[ 9.99955698e-01  9.41291140e-03 -2.73543842e-05],-9.084709466070341e-05
[-6.29837379e+00 -2.56575170e-05],[0.07593317],[ 9.99884657e-01 -1.51878993e-02 -2.56575170e-05],-0.00023641696575230607
[ 8.91985453e-03 -1.72934513e-05],[-0.04460247],[ 9.99960218e-01  8.91973625e-03 -1.72934513e-05],-8.156864180290682e-05
[-6.23521428e+00 -5.23677303e-05],[-0.23977572],[ 9.98849611e-01  4.79526299e-02 -5.23677303e-05],-0.0023589632618786598
[-5.05979984e-02 -1.95677038e-05],[0.25287643],[ 9.98720194e-01 -5.05764114e-02 -1.95677038e-05],-0.002624004964643501
